post_location,warning_time_seconds,with_alert_screenshot,magnitude_on_alert_screenshot,distance_on_alert_screenshot_ml,alert_language,alert_screenshot_with_contour,user_approximate_location_on_alert,alert_type,alert_source,reply_sentiment,felt_shaking,alert_mode,post_alert_action,users_sentiment,users_emotion,helpfulness,system_improvement,alert_arrival_wrt_shaking,shaking_level,shaking_intensity_mmi,alert_received_by_others,indoor_vs_outdoor,user's_accompany,first_earthquake_alert_experience,user's_past_earthquake_experience,past_earthquake_damage_experience,user's_gender,alert_info_recall,aea_info_accuracy,technical_issues_with_alert,alert_info_clearance,reason_for_taking_no_action,future_trust_level,helpfulness_reason,aea_vs_others,reasoning,location_combined,warning_time_binned
Izmir,UNKNOWN,NO,,UNKNOWN,Turkish,NOT_APPLICABLE,UNKNOWN,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,PASSIVE_AWARE,NEUTRAL,REASSURANCE,NEUTRAL,UNKNOWN,UNKNOWN,WEAK,MMI III,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"['ESTIMATED_MAGNITUDE', 'ESTIMATED_DISTANCE', 'ESTIMATED_INTENSITY_AT_THEIR_LOCATION']",PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,DEEMED_UNNECESSARY,NEUTRAL,CONFIRMED_IT_WAS_AN_EARTHQUAKE,UNKNOWN,"The user mentions receiving an Android alert about a 5.9 earthquake at an unknown distance. They also state they knew the intensity they would feel in Izmir. They felt a 'weak' shaking. The user expresses a neutral sentiment, hoping there is no significant damage at the epicenter. The user took no action because they deemed it unnecessary. The user's recall of the magnitude, distance, and expected intensity suggests they paid attention to the alert's information. The user's post time is estimated based on the earthquake time mentioned in the screenshot plus the 11 minutes mentioned in the tweet text.",,
UNKNOWN,10,NO,,UNKNOWN,Turkish,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEUTRAL,SURPRISE,NEUTRAL,UNKNOWN,DURING SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,CONFIRMED_IT_WAS_AN_EARTHQUAKE,UNKNOWN,"The user mentions that the earthquake wave reaches 200 km away approximately 10 seconds later. They also mention that everyone with an Android system, like a Samsung phone, receives an earthquake warning message from the system as soon as an earthquake occurs. This suggests that the user received the alert during the shaking. The user's statement implies a positive sentiment towards the Android system's earthquake alert feature. The post time is estimated based on the '21h' mentioned in the tweet. The user's profile picture suggests that the user is likely male.",,5-15 sec
Izmir,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEGATIVE,ANNOYANCE,NOT_HELPFUL,YES,AFTER SHAKING,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],INACCURATE,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,REASON_UNSPECIFIED,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,UNKNOWN,"The user is complaining that they did not receive an earthquake alert on their iPhone, even though all notifications were enabled. They are expressing frustration with Apple and suggesting that Android users are better off. This indicates a negative sentiment and that the alert was not helpful because it never arrived. The user felt the shaking but did not receive an alert, so the alert arrival was after the shaking. The user's negative experience suggests they would trust the system less in the future. The post time is estimated based on the 21 hours mentioned in the tweet text.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,SILENT_NOTIFICATION,SOUGHT_INFO,NEGATIVE,ANNOYANCE,NOT_HELPFUL,YES,AFTER SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,[],INACCURATE,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,REASON_UNSPECIFIED,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,UNKNOWN,"The user is complaining about not receiving an earthquake alert on their iPhone, despite having all notifications enabled. They are asking if they need to switch to Android to receive these alerts. This indicates a negative sentiment and that the alert was not helpful because it didn't arrive. The user felt the earthquake but didn't receive an alert. The post time is estimated based on the '21h' ago. The user's profile picture suggests they are female.",,
Bodrum,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,SURPRISE,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,"The user expresses surprise that earthquake alerts are available on Android, despite having bought an iPhone. The post is neutral in sentiment. The post time is estimated based on the '21h' relative time. The user mentions Bodrum as their location. The user's profile picture suggests they are male.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,UNKNOWN,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE,ANNOYANCE,NOT_HELPFUL,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,[],INACCURATE,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,REASON_UNSPECIFIED,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,AEA_ALERT_ARRIVED_LATER,"The user is complaining about Apple's lack of earthquake alerts and threatening to switch to Android because of it. This indicates a negative sentiment towards Apple's system and a potential positive view (or at least an expectation) of Android's earthquake alert system. The user's complaint implies that they did not receive an alert when they expected to, suggesting the alert arrived too late (or not at all). The post time is estimated based on the '21h' ago. The user's name 'Max Dogy II' is male.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE,ANNOYANCE,NOT_HELPFUL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],UNKNOWN,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,UNKNOWN,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,UNKNOWN,"The user expresses negative sentiment towards iPhones, stating that Android users received earthquake alerts while iPhone users did not. This suggests that the user did not receive an alert on their iPhone, implying it arrived too late to be useful or not at all. The user's annoyance and the fact that others received alerts while they didn't indicate a negative experience and a lack of trust in the system. The post time is estimated based on the '21h' ago.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,Turkish,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,SILENT_NOTIFICATION,UNKNOWN,NEGATIVE,ANNOYANCE,NOT_HELPFUL,YES,AFTER SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,[],INACCURATE,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,REASON_UNSPECIFIED,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,UNKNOWN,"The user is complaining about not receiving an Android earthquake alert ('niye bana bildirim göndermiyor'). The user felt the earthquake ('#deprem anında') but did not receive an alert. This indicates a negative sentiment and a perception that the system is not helpful. The post time is estimated based on the 21 hours mentioned in the tweet text. The user's profile picture suggests the user is male. The user is annoyed because they did not receive an alert. The user's statement implies that the alert arrived after the shaking, or not at all, making it unhelpful. The user's complaint suggests a lack of trust in the system for future events.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEGATIVE,ANNOYANCE,NOT_HELPFUL,YES,AFTER SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],INACCURATE,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,NO_TIME,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,UNKNOWN,"The user expresses negative sentiment about the Android earthquake alert system. They mention that when there was an earthquake in Antalya, it took 15-20 seconds for the shaking to reach Mersin. They imply that the Android alert only sends notifications to surrounding cities after the shaking has already occurred, suggesting it's not a very advanced technology because it should predict the earthquake beforehand. This indicates the alert arrived after the shaking and was not helpful because it arrived too late to be useful. The user's sentiment is negative, and they are annoyed that the alert didn't provide advance warning. They are likely to trust the system less in the future. The post time is estimated based on the 21 hours mentioned in the tweet text.",,
Izmir,10,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,UNKNOWN,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user mentions receiving an Android earthquake alert 10 seconds before feeling the shaking in Izmir. This indicates a positive experience and that the alert was helpful. The user's location is explicitly mentioned as Izmir. The post time is estimated based on the '21h' ago mentioned in the tweet. The user's statement implies that the alert was accurate and timely, increasing trust in the system. Many fields are marked 'UNKNOWN' as the user's short tweet does not provide details on their actions, emotions, or specific experience of the shaking.",,5-15 sec
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,CONFIRMATION_OF_POSITIVE_POST,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,The user states that everyone using Android received a notification about the earthquake. This indicates a positive sentiment and confirms that the AEA system is working. The post time is estimated based on the '21h' ago. The user is replying to another user. The user confirms that others received the alert.,,
